iter	Passed	Remaining
405	6329	1465
406	6347	1450
407	6366	1435
408	6385	1420
409	6403	1405
410	6422	1390
411	6440	1375
412	6458	1360
413	6478	1345
414	6498	1330
415	6517	1316
416	6538	1301
417	6559	1286
418	6581	1272
419	6604	1257
420	6626	1243
421	6646	1228
422	6665	1213
423	6686	1198
424	6706	1183
425	6730	1169
426	6751	1154
427	6771	1139
428	6791	1123
429	6811	1108
430	6832	1093
431	6851	1078
432	6871	1063
433	6892	1048
434	6911	1032
435	6933	1017
436	6958	1003
437	6978	987
438	6999	972
439	7019	957
440	7041	942
441	7063	926
442	7085	911
443	7104	896
444	7125	880
445	7146	865
446	7165	849
447	7184	833
448	7214	819
449	7235	803
450	7256	788
451	7277	772
452	7299	757
453	7323	741
454	7346	726
455	7370	711
456	7394	695
457	7417	680
458	7443	664
459	7467	649
460	7489	633
461	7514	618
462	7538	602
463	7562	586
464	7584	570
465	7605	554
466	7627	538
467	7649	523
468	7670	507
469	7690	490
470	7710	474
471	7730	458
472	7750	442
473	7771	426
474	7793	410
475	7814	393
476	7833	377
477	7859	361
478	7920	347
479	7951	331
480	7978	315
481	7998	298
482	8019	282
483	8041	265
484	8063	249
485	8083	232
486	8104	216
487	8124	199
488	8147	183
489	8169	166
490	8193	150
491	8222	133
492	8244	117
493	8267	100
494	8289	83
495	8311	67
496	8337	50
497	8359	33
498	8381	16
499	8402	0
