iter	MultiClass
137	0.6632067403
138	0.662438515
139	0.6614079885
140	0.6603902546
141	0.6596971705
142	0.6588123775
143	0.6578689737
144	0.6570319419
145	0.6561949736
146	0.6542929913
147	0.6537862138
148	0.6522208085
149	0.6517741409
150	0.6506923243
151	0.649748659
152	0.648771802
153	0.6479944704
154	0.6464976191
155	0.6452638192
156	0.6439252706
157	0.6430025488
158	0.6424328592
159	0.6413091402
160	0.6405556727
161	0.6396833623
162	0.6387759273
163	0.6381443509
164	0.6371099417
165	0.6361942291
166	0.6355195697
167	0.6345959489
168	0.633279234
169	0.6317024996
170	0.6306367093
171	0.6299223073
172	0.6295326797
173	0.6285633287
174	0.6275574599
175	0.6266636533
176	0.6262787078
177	0.625855334
178	0.6250397936
179	0.6242350984
180	0.6237515119
181	0.6229212965
182	0.6220756046
183	0.6209783628
184	0.6199900589
185	0.6195126877
186	0.6186881191
187	0.6180009432
188	0.6170939825
189	0.6162927792
190	0.6156627391
191	0.6151526134
192	0.6144965621
193	0.613475147
194	0.6125125976
195	0.6119727616
196	0.611314976
197	0.6106283977
198	0.6101943103
199	0.6092099122
200	0.6082894635
201	0.6075048082
202	0.6067503932
203	0.6059685931
204	0.6054190524
205	0.6042381079
206	0.6033333385
207	0.6020826466
208	0.6008904555
209	0.5999659312
210	0.5988678275
211	0.5978674445
212	0.5970229662
213	0.5963729558
214	0.5953643645
215	0.5945887959
216	0.5934980444
217	0.5929865643
218	0.5923284593
219	0.5914773294
220	0.5903250459
221	0.5890245029
222	0.5883766748
223	0.5875353328
224	0.586968234
225	0.5864223681
226	0.5857776882
227	0.5848276241
228	0.5842344068
229	0.5832421123
230	0.5828048562
231	0.5819243266
232	0.5810845443
233	0.5804732856
234	0.5795140955
235	0.5789376365
236	0.5782256827
237	0.5776193647
238	0.5767967652
239	0.5760284614
240	0.5750741646
241	0.5742509936
242	0.5732238869
243	0.5721068887
244	0.5716069175
245	0.5710414893
246	0.5707635748
247	0.570451764
248	0.5691688514
249	0.5686544589
250	0.5681690924
251	0.5676128817
252	0.5669977816
253	0.5663571124
254	0.5651167478
255	0.5637601462
256	0.5631875285
257	0.5618532113
258	0.5613516653
259	0.5602156654
260	0.5595869893
261	0.5590795728
262	0.5586372544
263	0.5580541127
264	0.5571772364
265	0.5564904394
266	0.5554162256
267	0.5546525506
268	0.5538539828
269	0.5524132878
270	0.5515303509
271	0.5508035621
272	0.5502863702
273	0.5496536669
274	0.5492841501
275	0.5482534602
276	0.5475997242
277	0.5471883962
278	0.5463570744
279	0.5457758154
280	0.5449438024
281	0.5442301074
282	0.5435058853
283	0.5431122283
284	0.5425563491
285	0.54184823
286	0.5408294164
287	0.5398494107
288	0.5394003391
289	0.5386926656
290	0.5378718152
291	0.5368497587
292	0.5357638059
293	0.5349467594
294	0.5340010505
295	0.53309713
296	0.5323558585
297	0.5312690822
298	0.5303973283
299	0.5296062385
300	0.5291428963
301	0.5284632659
302	0.5278708001
303	0.5272727917
304	0.5266786503
305	0.5260597805
306	0.5255521564
307	0.5247793801
308	0.5237679103
309	0.5232046522
310	0.522684934
311	0.5215892219
312	0.5212104815
313	0.5205779791
314	0.5196117338
315	0.5189835581
316	0.5178930353
317	0.517259428
318	0.5168609657
319	0.5164555746
320	0.5156561318
321	0.5150409494
322	0.5146140066
323	0.5138386783
324	0.513487112
325	0.5128477191
326	0.5123885401
327	0.511788411
328	0.5115220902
329	0.5109998721
330	0.5102681795
331	0.5094305855
332	0.5088172957
333	0.5082310776
334	0.5078041949
335	0.506857068
336	0.5061447599
337	0.5054169606
338	0.5048065259
339	0.5039356742
340	0.5029057613
341	0.5023298671
342	0.5015344684
343	0.5011318559
344	0.5006036037
345	0.5001041988
346	0.4997257735
347	0.4985770178
348	0.4977291225
349	0.4969577797
350	0.4961698299
351	0.4953860944
352	0.4945141023
353	0.4939380017
354	0.4935509753
355	0.4928536817
356	0.4924220263
357	0.4918327492
358	0.4914154578
359	0.4905297797
360	0.4902321813
361	0.4896197357
362	0.488989345
363	0.4885670471
364	0.4877374784
365	0.4867698594
366	0.485848212
367	0.4853516904
368	0.4849147763
369	0.4839519535
370	0.4834938917
371	0.4829270127
372	0.4823204607
373	0.4814505527
374	0.4809762604
375	0.4805716249
376	0.4799971808
377	0.4791053049
378	0.4783020915
379	0.4779668593
380	0.4774937566
381	0.4769155166
382	0.4764850686
383	0.475997064
384	0.47552503
385	0.4747639052
386	0.4744185144
387	0.4738322368
388	0.4733300062
389	0.4727493465
390	0.4720676241
391	0.4716263257
392	0.4709864946
393	0.4705221114
394	0.470077056
395	0.4697761369
396	0.4693354716
397	0.4689043099
398	0.4680163019
399	0.467575911
400	0.4670836708
401	0.4666691643
402	0.466154189
403	0.4653415282
404	0.464609725
405	0.4641262895
406	0.4636051328
407	0.4629256261
408	0.4623639327
409	0.4618667158
410	0.4611164644
411	0.4605200538
412	0.459964792
413	0.4588239366
414	0.4584602094
415	0.4581085715
416	0.4572375075
417	0.4563678979
418	0.4559646039
419	0.4553798399
420	0.4545913926
421	0.4541082475
422	0.4537644776
423	0.4530827237
424	0.4526689412
425	0.4521522151
426	0.4515970398
427	0.4512832973
428	0.450659174
429	0.4496991523
430	0.4492808768
431	0.4483759195
432	0.4482181205
433	0.447891182
434	0.4476634078
435	0.4470693006
436	0.4462945836
437	0.4456124582
438	0.4451352174
439	0.4446142822
440	0.4441333658
441	0.4437495763
442	0.4430451835
443	0.4425981849
444	0.4423216425
445	0.4418264061
446	0.4415555344
447	0.4411005714
448	0.440723507
449	0.4398718291
450	0.4392790557
451	0.438805374
452	0.4384729861
453	0.4382229652
454	0.4377339918
455	0.4369983925
456	0.4362627517
457	0.4357520896
458	0.4351376065
459	0.4343051913
460	0.433992074
461	0.4335333107
462	0.4331586909
463	0.4327481594
464	0.432424404
465	0.4319822618
466	0.4311536837
467	0.4307605036
468	0.4303271853
469	0.4299514931
470	0.4292197049
471	0.4287377354
472	0.4282145626
473	0.4277371404
474	0.4273688937
475	0.4268648895
476	0.4264441248
477	0.4258367302
478	0.4255081423
479	0.4250489649
480	0.4245195217
481	0.4240053408
482	0.4233538917
483	0.4225907106
484	0.4222430107
485	0.4218911791
486	0.4215067493
487	0.4210433203
488	0.4204695905
489	0.4197176424
490	0.4192250095
491	0.4188388174
492	0.4184376878
493	0.4179837046
494	0.4176226494
495	0.4170863671
496	0.416461011
497	0.4158489657
498	0.4154872878
499	0.4151598181
